timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,date,temperature_2m,relative_humidity_2m,wind_speed_10m,hour,day_of_week,month,aqi_change_rate,aqi_rolling_24h,target_aqi_next_1d,target_aqi_next_2d,target_aqi_next_3d
1753538400,4,113.35,0.0,0.42,77.51,1.58,44.08,183.99,1.95,2025-07-26 14:00:00,35.8,60,1.3,14,5,7,0.0,4.0,4.0,5.0,5.0
1753542000,4,115.89,0.0,0.46,78.68,1.67,44.78,182.62,2.13,2025-07-26 15:00:00,34.2,61,5.0,15,5,7,0.0,4.0,4.0,5.0,5.0
1753545600,4,117.06,0.0,0.5,78.32,1.73,44.54,176.67,2.38,2025-07-26 16:00:00,34.4,55,10.4,16,5,7,0.0,4.0,4.0,5.0,5.0
1753549200,4,122.22,0.0,0.58,79.87,1.96,45.2,173.2,2.8,2025-07-26 17:00:00,33.6,56,9.3,17,5,7,0.0,4.0,4.0,5.0,5.0
1753552800,4,131.63,0.0,0.73,82.72,2.56,45.99,168.93,3.33,2025-07-26 18:00:00,33.0,59,10.9,18,5,7,0.0,4.0,4.0,4.0,5.0
1753556400,4,141.96,0.0,1.05,82.45,3.58,45.4,160.49,3.82,2025-07-26 19:00:00,32.5,62,11.0,19,5,7,0.0,4.0,4.0,4.0,5.0
1753560000,4,150.68,0.0,1.45,76.77,4.34,44.63,154.71,4.03,2025-07-26 20:00:00,32.1,65,10.9,20,5,7,0.0,4.0,4.0,4.0,5.0
1753563600,4,154.95,0.0,1.87,67.71,4.62,43.68,152.18,3.97,2025-07-26 21:00:00,31.7,67,11.5,21,5,7,0.0,4.0,4.0,4.0,5.0
1753567200,4,154.24,0.0,2.2,57.65,4.42,42.48,151.17,3.74,2025-07-26 22:00:00,31.1,69,10.3,22,5,7,0.0,4.0,4.0,4.0,4.0
1753570800,4,151.94,0.0,2.44,49.64,4.02,41.92,153.51,3.45,2025-07-26 23:00:00,30.6,72,10.0,23,5,7,0.0,4.0,4.0,4.0,4.0
1753574400,4,148.95,0.0,2.58,43.8,3.59,41.74,157.39,3.14,2025-07-27 00:00:00,30.1,73,9.0,0,6,7,0.0,4.0,4.0,4.0,4.0
1753578000,4,144.9,0.0,2.61,39.57,3.2,41.57,161.32,2.89,2025-07-27 01:00:00,31.2,72,8.1,1,6,7,0.0,4.0,4.0,4.0,4.0
1753581600,4,141.85,0.02,2.7,36.97,2.94,41.68,166.21,2.82,2025-07-27 02:00:00,31.6,71,9.2,2,6,7,0.0,4.0,4.0,4.0,4.0
1753585200,4,138.64,0.18,2.58,36.42,2.74,41.93,170.93,2.81,2025-07-27 03:00:00,32.6,67,9.4,3,6,7,0.0,4.0,4.0,4.0,4.0
1753588800,4,134.71,0.38,2.06,40.26,2.63,42.5,175.65,2.82,2025-07-27 04:00:00,33.6,65,9.8,4,6,7,0.0,4.0,4.0,4.0,4.0
1753592400,4,130.6,0.3,1.5,49.16,2.58,43.69,179.39,2.83,2025-07-27 05:00:00,35.0,60,9.3,5,6,7,0.0,4.0,4.0,4.0,4.0
